"Borough","Event","event_name","event_id"
"Barking and Dagenham","Barking","Barking","595"
"Barnet","Oak Hill","OakHill","642"
"Barnet","Sunny Hill","SunnyHill","235"
"Bexley","Bexley","Bexley","614"
"Bexley","Foots Cray Meadows","FootsCrayMeadows","266"
"Brent","Gladstone","Gladstone","598"
"Bromley","Bethlem Royal Hospital","BethlemRoyalHospital","227"
"Bromley","Bromley","Bromley","719"
"Bromley","Crystal Palace","CrystalPalace","664"
"Bromley","Hoblingwell","Hoblingwell","342"
"Bromley","Orpington","Orpington","583"
"Camden","Hampstead Heath","HampsteadHeath","634"
"Croydon","Lloyd","Lloyd","701"
"Croydon","Riddlesdown","Riddlesdown","672"
"Croydon","South Norwood","SouthNorwood","339"
"Ealing","Northala Fields","NorthalaFields","490"
"Ealing","Southall","Southall","159"
"Enfield","Grovelands","Grovelands","699"
"Enfield","Pymmes","Pymmes","657"
"Greenwich","Avery Hill","AveryHill","734"
"Greenwich","Charlton","Charlton","181"
"Greenwich","Sutcliffe","Sutcliffe","189"
"Greenwich","Thames Path Woolwich","ThamesPathWoolwich","93"
"Hackney","Hackney Marshes","HackneyMarshes","698"
"Hammersmith and Fulham","Fulham Palace","FulhamPalace","491"
"Hammersmith and Fulham","Wormwood Scrubs","WormwoodScrubs","639"
"Haringey","Ally Pally","AllyPally","583"
"Haringey","Finsbury","Finsbury","676"
"Haringey","Lordship Recreation Ground","LordshipRecreationGround","130"
"Harrow","Canons Park","CanonsPark","365"
"Harrow","Harrow","Harrow","443"
"Havering","Harrow Lodge","HarrowLodge","547"
"Havering","Ingrebourne Hill","IngrebourneHill","14"
"Havering","Raphael","Raphael","434"
"Hillingdon","Stockley Country","StockleyCountry","112"
"Hounslow","Bedfont","Bedfont","734"
"Hounslow","Gunnersbury","Gunnersbury","618"
"Hounslow","Hanworth","Hanworth","224"
"Hounslow","Osterley","Osterley","515"
"Islington","Highbury Fields","HighburyFields","633"
"Kingston upon Thames","Kingston","Kingston","705"
"Lambeth","Brockwell","Brockwell","629"
"Lewisham","Beckenham Place","BeckenhamPlace","368"
"Lewisham","Catford","Catford","289"
"Lewisham","Hilly Fields","HillyFields","594"
"Merton","Morden","Morden","35"
"Newham","Beckton","Beckton","597"
"Newham","Victoria Dock","VictoriaDock","242"
"Redbridge","Valentines","Valentines","668"
"Redbridge","Wanstead Flats","WansteadFlats","667"
"Richmond upon Thames","Bushy","Bushy","1029"
"Richmond upon Thames","Crane","Crane","602"
"Richmond upon Thames","Old Deer Park","OldDeerPark","680"
"Richmond upon Thames","Richmond","Richmond","854"
"Southwark","Burgess","Burgess","559"
"Southwark","Dulwich","Dulwich","619"
"Southwark","Peckham Rye","PeckhamRye","504"
"Southwark","Southwark","Southwark","516"
"Sutton","Roundshaw","Roundshaw","768"
"Tower Hamlets","Mile End","MileEnd","610"
"Waltham Forest","Walthamstow","Walthamstow","544"
"Wandsworth","Battersea","Battersea","21"
"Wandsworth","Clapham Common","ClaphamCommon","269"
"Wandsworth","Tooting Common","TootingCommon","398"
"Wandsworth","Wimbledon","Wimbledon","886"
